,positions,locations,company_names,posted_dates,descriptions
3,"Data Scientist or Data Engineer - AWS, Python, PySpark","Remote or Washington, DC, USA",SESC,Posted 4 days ago,"SESC is adding to our team! We are seeking a Data Science/Data Engineer - with experience in PySpark, AWS, Pandas and PostgresSql Type: W2 With Benefits or W2 hourly - No C2C Location: Washington, DC (remote - from East coast) Job Description: ""not looking for ML engineer, we need data science engineer"" Tech Skills Must have Preferred Skills Python, Pandas , NumPy, Pyspark Yes AWS Hands on Development Experience Yes Database (Oracle , Postgres) Yes Enterprise moving to cloud - migration. This ye"
4,"Cybersecurity Analyst Levels 1-7, Data Scientist","New York, NY, USA",MTA New York City Transit,Posted 7 days ago,"Job Information Job Title: Cybersecurity Analyst Levels 1-7, Data Scientist Salary Range: Level 1: $82,857 - $105,000 Level 2: $87,685 - $115,500 Level 3: $95,929 - $127,050 Level 4: $102,760 - $139,755 Level 5: $114,537 - $153,731 Level 6: $124,311 - $169,104 Level 7: $140,917 - $186,014 POINTS: Level 1 - 282 Level 2 - 323 Level 3 - 393 Level 4 - 451 Level 5 - 551 Level 6 - 634 Level 7 - 775 DEPT/DIV: MTA Information Technology/ Office of IT Cyber Security Services SUPERVISOR: Cybersecurity Off"
5,Sr. Data Scientist (REMOTE),"Chicago, IL, USA",TransUnion,Posted 20 days ago,"TransUnion's Job Applicant Privacy Notice What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We are consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. Come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology. What You'll Bring:"
6,Data Scientist - Entry to Expert Level (Maryland Location),"Fort Meade, MD, USA",National Security Agency,Posted 6 days ago,"Position Summary Data scientists are hired into positions either directly supporting a technical mission office or into the Data Science Development Program (DSDP). For the former, you will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discus"
7,"Sr Data Scientist (Data Science, Data Analytics, predictive analytics, machine learning, multivariate analysis, Python, R, MATLAB, Biotech Industry ) in Waltham, MA - HYBRID","Waltham, MA, USA",DBA Web Technologies,Posted 25 days ago,"Sr Data Scientist (Data Science, Data Analytics, predictive analytics, machine learning, multivariate analysis, Python, R, MATLAB, Biotech Industry) in Waltham, MA - HYBRID POSITION: Sr Data Scientist (Data Science, Data Analytics, predictive analytics, machine learning, multivariate analysis, Python, R, MATLAB, Biotech Industry ) LOCATION: Waltham, MA - Hybrid – 3 days onsite / 2 days Remote SALARY: Excellent Compensation with benefits + 401K DURATION: Full-Time Position (Onsite – Hybrid) SKIL"
8,Data Scientist,"Boston, MA, USA",Motion Recruitment,Posted 40 days ago,"Job Description An international software and economics firm is looking to expand their data science team. Required Skills & Experience Cybersecurity background Experience with Python and data science packages like Pandas, PyTorch, XGBoost Machine Learning models Desired Skills & Experience Interest using machine learning and data science at scale The Offer Bonus eligible You will receive the following benefits: Medical Insurance Dental Benefits Vision Benefits Paid Time Off (PTO) 401(k)"
9,Lead Data Scientist,"Los Angeles, CA, USA",Motion Recruitment,Posted 33 days ago,"Job Description An international software and economics firm is looking to expand their data science team. This team will build modern data science solutions at scale to prevent fraud within financial and insurance institutions. Required Skills & Experience Cybersecurity background Experience with Python and data science packages like Pandas, PyTorch, XGBoost Desired Skills & Experience Interest using machine learning and data science at scale The Offer Bonus eligible You will receive the"
10,Data Scientist - Senior,"McLean, VA, USA",GovCIO,Posted 38 days ago,"Posting Description Company Overview GovCIO is a team of transformers-people who are passionate about transforming government I.T. We believe in making a difference by developing digital strategies and delivering the technology-related innovation that improves governmental operations each day. But we can't do it alone. We welcome and nurture an inclusive and diversified work culture. Because different backgrounds, experiences, abilities, and perspectives make us better decision-makers, problem"
11,Data Scientist,"Phoenix, AZ, USA",Motion Recruitment,Posted 47 days ago,"Job Description A client of ours in Phoenix, Arizona is looking for a data scientist to join their team. They are looking for someone that has 2-3 years of professional experience doing data science as well as some data analysis. This is junior-mid level contract position. Their stack includes, but is not limited to- Python, Pandas, Numpy, GeoPandas, Tensorflow, PyTorch, and AWS. This is a hybrid role, must be in the Phoenix office twice a week. Required Skills & Experience 2-3 years of Pytho"
12,"Data Scientist, Phase 2-IT Business Intelligence Developer - Level 3, CTDS",Remote,NovaLink Solutions,Posted 23 hours ago,"This position is remote within Connecticut. Client Name: State of Connecticut - Department Administrative Services Client Job ID: CTDS Data Scientist, Phase 2 Business Intelligence Developer - Level 3 Job Opening title: IT Business Intelligence Developer - Level 3 Contract Duration: 10 months Job Location: Hartford, Connecticut (Remote) About the Role The Data Scientist will work closely with our cross-functional project team focused on building and improving the State of Connecticut’s digital g"
13,"Senior Data Scientist (Hybrid/Remote near Lancaster, PA)","Saint Charles, MD, USA",Fulton Bank,Posted 10 days ago,"Senior Data Scientist (Hybrid/Remote near Lancaster, PA) US-PA-Lancaster Job ID: 2022-18212 Type: Full-Time # of Openings: 1 Category: Information Technology Corporate Headquarters Value Proposition Our values define us and our culture inspires us to change lives for the better. Our employees are the heart and soul of our company and every success we experience begins with them. We hire team members who raise the bar, who are collaborative and inclusive, who build relationships, and who"
14,Data Scientist with Energy/Utilities Industry EXP,"Portland, OR, USA",Accelerated Innovators,Posted 3 days ago,"Title: Data scientist with Energy/Utilities EXP Location: Portland. OR Duration:12+ Months Responsibilities for this position include Conduct complex research studies and technical analyses in areas of specialized data science to support company objectives and enable Transmission and Distribution Operations. Support data science projects, processes, or systems over the life cycle of the project, including project identification, scope development, implementation, and long-term operations and mai"
15,Sr. Data Scientist,Remote,Jones Grove IT Recruiting,Posted 60+ days ago,"Senior Data Scientist Full time-Direct Hire Remote (EST hours) As a Senior Data Scientist you will be part of the newly formed Data Science and Advanced Analytics team, which is responsible for delivering machine learning and statistical analysis capabilities. You will own the process from data ingestion, exploratory data analysis, algorithm design and development, model deployment, to performance monitoring (model retraining/drift detection/etc.) You will collaborate with data strategy and p"
16,Data Scientist - Uncertainty Quantification,"Livermore, CA, USA",Lawrence Livermore National Laboratory,Posted 26 days ago,"Company Description Join us and make YOUR mark on the World! Are you interested in joining some of the brightest talent in the world to strengthen the United States' security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place. We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, e"
17,Sr. Data Scientist - (Remote),"Chicago, IL, USA",TransUnion,Posted 26 days ago,"TransUnion's Job Applicant Privacy Notice What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We are consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. Come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology. This position is res"
18,Remote Agronomic Data Scientist,"Johnston, IA, USA",Apex Systems,Posted 33 days ago,"Job#: 1312442 Job Description: Apex Systems is looking for an Agronomic data scientist in the Des Moines Metropolitan area the role will work in a hybrid capacity Tuesday - Thursday. If you are interested in the opportunity send your email to Responsibilities: Candidate will be involved in many digital disease and insect management projects within our farming solutions and digital department. The role will consist of data collection, data scrubbing, building models using machine learning approa"
19,Junior Data Scientist,"Houston, TX, USA",SynergisticIT,Posted 39 days ago,About Us: Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology. Job description Roles Responsibilities: Help extract data from multiple sources and join
0,Cybersecurity Data Scientist,"Boston, MA, USA",Motion Recruitment,Posted 40 days ago,"Job Description An international software and economics firm is looking to expand their data science team. This team will build modern data science solutions at scale to prevent fraud within financial and insurance institutions. Required Skills & Experience Cybersecurity background Experience with Python and data science packages like Pandas, PyTorch, XGBoost Desired Skills & Experience Interest using machine learning and data science at scale The Offer Bonus eligible You will receive the"
1,Data Scientist/Operations Research Analyst,"Chicago, IL, USA",Codeforce 360,Posted 41 days ago,"Career Opportunity: Job Title: Data Scientist/Operations Research Analyst About CodeForce 360 Making a career choice is amongst the most critical choices one can make, and it's important for the choice to be calculated with factors such as a company's run of success since its inception and more. But, when you come across a company that has reputation proven with nothing but an illustrious run of success since the day it began, you don't need to think of anything else. That's precisely what som"
2,Data Scientist II (Power BI),"Overland Park, KS, USA",SPECTRAFORCE TECHNOLOGIES Inc.,Posted 27 days ago,"Job Title: Data Scientist II (Power BI) Location: Overland Park, KS or Bellevue, WA Duration: 6+ Months Description: At least 3 years relevant experience required.Help us discover the information hidden in vast amounts of data, to enable smarter decisions that will deliver even better products.Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. Responsibilities Selecting features,"
3,"Data Scientist - Onsite in Richmond, VA w/some remote flex","Richmond, VA, USA",Vaco Technology,Posted 13 days ago,"Responsibilities: Understand and translate business needs into data models supporting long-term ODGA solutions. Develop and maintain conceptual, logical and physical data models along with corresponding metadata. Develop best practices for data standards and coding practices to ensure consistency in data models. Perform reverse engineering of physical data models from databases and SQL scripts. Examine new application design and recommend corrections if required. Develop tools for data science s"
4,Senior Data Scientist,"Grand Junction, CO, USA",Motion Recruitment,Posted 46 days ago,"Job Description We are working with an international hotel franchise that is looking for a Data Scientist to join their Revenue Management Product team. This team builds, supports, and maintains forecasting machine learning and pricing algorithms. In this role you will be contributing to cloud strategy and design as well as capacity management. This is a 100% remote opportunity but must be local to Phoenix, Arizona. We are looking for someone with 8-10+ years of experience as a Data Scientist. Y"
5,Direct-To-Consumer Data Scientist for Health & Wellness Start-Up,"Watertown, MA, USA",Motion Recruitment,Posted 7 days ago,"Job Description Our client is a venture-backed, direct-to-consumer startup company that is creating transformational hydration products that reimagine the way in which flavored drinks are created and enjoyed. You may have heard of them going viral on TikTok! They are looking to hire their very first Data Scientist, where you will be analyzing customer data and provide actionable insights with the purpose of gaining and retaining customers. In a nutshell, you will be tackling challenges across lo"
6,Data Scientist with Marketing/Media Mix Model,Remote,West Coast Consulting LLC,Posted 7 days ago,Job Description: Required Skills: - marketing mix modelling - this is something that they work with all day and a candidate must be well-versed. - media experience - python - modelling experience Like to have skills: - Ph.D. - SQL - Tableau This contract has the opportunity to extend or to convert to FTE.
7,Data Scientist,Remote,Newt Global,Posted 45 days ago,"Data Scientist Location- Dallas, TX, or NJ( Initially Remote) Required : Minimum 8 years. experience Strong Python 5+ years experience NLP – Natural Language Processing Neural Networks AI/ML engineering. (Fin. tech experience is preferred)"
8,Data Scientist,"Lebanon, VA, USA",CGI,Posted 53 days ago,"Data Scientist Position Description This is an exciting full-time opportunity to work in a fast-paced environment with a team of passionate technologists. We take an innovative approach to supporting our client, working side-by-side in an agile environment using emerging technologies. As a solution builder, you will support our client's mission and strategic plan to modernize processes and achieve operational efficiency. You'll join a cross-functional team working alongside client stakeholders t"
9,Data Scientist,"Jersey City, NJ, USA","Judge Group, Inc.",Posted 56 days ago,"Location: Jersey City, NJ Description: Our client is currently seeking a Data Scientist to work as a permanent employee. You will be asked to go into the office in Jersey City, NJ twice a week. Must have: Both Data Science and MLOps experience Knowledge of Python with Spark CI/CD pipeline -git/bitbucket/ any code repo, Jenkins/Travis Build Micro Services, deploy and maintain Kubernetes with any cloud (Aws ,Azure, IBM or Google Cloud Platform, etc.) Testing Experience in Python BDD Framewor"
10,Data Scientist,"Richmond, VA, USA",PeopleNTech,Posted 60+ days ago,"Role - Data Scientist Location: 1111 East Broad Street Richmond, Virginia 23219 Agency Interview Type: Both Web Cam and In Person Interview Duration: 12+ Months We need someone who can commit to starting within 2 weeks of offer being accepted. Responsibilities: Understand and translate business needs into data models supporting long-term ODGA solutions.Develop and maintain conceptual, logical and physical data models along with corresponding metadata.Develop best practices for data standa"
11,Senior Data Scientist,"Cambridge, MA, USA",Motion Recruitment,Posted 50 days ago,"Job Description Our client company is a Cambridge, MA-based global AI/ML healthcare company with the mission of improving inefficiencies in the healthcare industry. They build a platform that uses cutting edge AI/ML, big data, software architecture, and more to improve the accuracy and pace of scientific processes in medical institutions. By working here, you'll contribute to helping diagnose and treat diseases for patients across the globe. They are looking for a Senior Data Scientist to help w"
12,Data Scientist/analyst - Remote - W2,Remote,Della Infotech,Posted 25 days ago,"Job Title: Data Scientist Location: Remote Duration: 6+ Months This is a 100% remote role. Job Description Equipment: Bank provided or Personal: Personal EquipmentMust Have Hard skills/qualifications: Detail Oriented. Takes Pride in Work Product. Knowledge of SQL, Tableau, Splunk Programming LanguagesNice to have but not mandatory: Power BI ExpertiseTop 3 Soft skills (organizational skills, problem solving, time management, etc.) : Curiosity, Team Player Mentality, Critical Thinking Abilit"
13,Entry Level Data Scientist,"Los Angeles, CA, USA",SynergisticIT,Posted 46 days ago,About Us: Synergistic IT is a full-service staffing and placement firm servicing client in America for the past 12+ years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We Intend to deliver exceptional student outcome. We don't just help you secure a tech job but build a solid career in technology.Job description Good understanding of the below models Identify valuable data sources and
14,Senior Data Scientist,"Franklin, TN, USA",SHR Talent,Posted 55 days ago,"SHR Talent is partnering with a client in Franklin, TN in its search for a Senior Data Scientist. This can be a remote position. As the Senior Data Scientist, you will be part of a growing team of bold innovators, dedicated to making a difference. As part of this team, the Senior Data Scientist will provide analytical services and solutions to the organization's decision-making process, corporate performance management, and clients. The Senior Data Scientist will be responsible for creating, dev"
15,*REMOTE* Senior Data Scientist,Remote,"Zachary Piper Solutions, LLC",Posted 45 days ago,"Piper Companies is seeking a Senior Data Scientist - Credit Risk Modeling to join one of the Nation's Largest Credit Unions for an employment opportunity. The Senior Data Scientist will be working 100% remotely to develop and evaluate models to quantify the organization's credit risk exposure and evaluate the performance of established controls. Responsibilities of the Senior Data Scientist include: • Interacting and advising management regarding credit risk issues, formulating product strategy"
16,Data Scientist Preventing Fraud,"Boston, MA, USA",Motion Recruitment,Posted 42 days ago,Job Description An international software and economics firm is looking to expand their production level data science team. This team will build modern data science solutions at scale to prevent fraud within financial and insurance institutions. This team requires their data scientists to have skills in research and development of models and the ability to wrangle data and launch models into production. Required Skills & Experience At least 1 year of professional data science experience Experi
17,Sr. Data Scientist - Remote,"Chicago, IL, USA",TransUnion,Posted 40 days ago,"TransUnion's Job Applicant Privacy Notice What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation. We are consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. Come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology. This position is res"
18,Mid Level Data Scientist,"San Francisco, CA, USA",Motion Recruitment,Posted 49 days ago,This San Francisco Start Up has a promising road to profitability. They are already hitting $4.4 billion in revenue and 4.3 billions page views annually. They power more efficient and scalable marketing strategies for ecommerce and DTC brands and are hiring for a Mid Level Data Scientist remotely. Required Skills 2+ years relevant Data Science experience Python SQL Marketing experience is a huge plus! The Offer Competitive Pay: $100-140K base Benefits Healthcare 401k 100% remote work
19,Looking for a Senior Data Scientist ---- Remote - W2 Requirement,Remote,Lilli Technology LLC,Posted 60+ days ago,"Hi, This is Harry. I represent the Recruitment services within (https://lillitechnology.com/) Lilli Technology is a global technology and business services consulting firm specializing in Business and IT Consulting & Staffing Services to commercial and government customers Our client is having below openings, Please go through below JD and apply with your Latest resume Job Title: Senior Data Scientist Location: Remote W2 Job Description: Job Title: Senior Data Scientist This position is f"
0,Data Scientist,"Grand Junction, CO, USA",Motion Recruitment,Posted 60+ days ago,"Data Scientist A client of ours based in Phoenix, Arizona is looking for a Data Scientist to join their team. This is a hybrid position, must be local to Arizona. The ideal candidate will have experience working w/ Python, SQL, and machine learning (primarily w/ PyTorch, TensorFlow, and Keras The company is a startup with a focus on analytics and statistics using constant data in business innovation. In this role, you will be researching data using different frameworks and building algorithms f"
1,Data Scientist / Senior / Remote,"Philadelphia, PA, USA",Motion Recruitment,Posted 49 days ago,"A leading SaaS company within the energy sector is looking for a Data Scientist (Senior) to join their organization. This company delivers technical insights and analytics that helps their clients increase their profit margin. This is a full-time remote position. In this role, you will be on the Energy Analytics team which focuses on supporting the company's main system for delivering data analytics. The ideal candidate will have 3+ years of experience with a solid foundation in Python, ML/Deep"
2,Data Scientist,"Weehawken, NJ, USA",Synechron,Posted 60+ days ago,"Role: Data Scientist Location: Weehawken NJ (Hybrid Model) Responsibilities Design and deploy core platform components for a new data mesh driven solution Prioritize and deliver against a defined Backlog of Epics in an agile approach Review and demonstrate solutions with stakeholders and aligned agile pods Identify and implement automation opportunities to ingest, search and process datasets Liaise with peers within various business domains to facilitate the adoption of the new platform Requir"
3,"Data Scientist - Onsite in Richmond, VA w/some remote flex","Richmond, VA, USA",Vaco Technology,Posted 27 days ago,"Responsibilities: Understand and translate business needs into data models supporting long-term ODGA solutions. Develop and maintain conceptual, logical and physical data models along with corresponding metadata. Develop best practices for data standards and coding practices to ensure consistency in data models. Perform reverse engineering of physical data models from databases and SQL scripts. Examine new application design and recommend corrections if required. Develop tools for data science s"
4,Data Scientist,"Miami, FL, USA",Apex Systems,Posted 60+ days ago,"Job#: 1305310 Job Description: POSITION SUMMARY: Royal Caribbean is seeking a seasoned, experienced and inquisitive Data Scientist that will lead our Research & Development initiatives and assimilate new, cutting-edge technologies into our broader Artificial Intelligence and Machine Learning capabilities. The position demands an inquisitive individual who can direct a team of other data scientists and machine learning professionals to deliver. This Data Scientist will focus on architecting, de"
5,Staff Data Scientist,"Tempe, AZ, USA",Achieve,Posted 60+ days ago,"Description At Achieve, we're changing millions of lives. From the single parent trying to catch up on bills to the entrepreneur needing a loan for the next phase of growth, you'll get to be a part of their journey to a better financial future. We're proud to have over 2,700 employees in mostly hybrid and 100% remote roles across the United States with hubs in Arizona, California, and Texas. We are strategically growing our teams with more remote, work-from-home opportunities every day to bette"
6,Staff Data Scientist,"San Mateo, CA, USA",Achieve,Posted 60+ days ago,"Description At Achieve, we're changing millions of lives. From the single parent trying to catch up on bills to the entrepreneur needing a loan for the next phase of growth, you'll get to be a part of their journey to a better financial future. We're proud to have over 2,700 employees in mostly hybrid and 100% remote roles across the United States with hubs in Arizona, California, and Texas. We are strategically growing our teams with more remote, work-from-home opportunities every day to bette"
7,Staff Data Scientist,"Tempe, AZ, USA",Achieve,Posted 60+ days ago,"Description At Achieve, we're changing millions of lives. From the single parent trying to catch up on bills to the entrepreneur needing a loan for the next phase of growth, you'll get to be a part of their journey to a better financial future. We're proud to have over 2,700 employees in mostly hybrid and 100% remote roles across the United States with hubs in Arizona, California, and Texas. We are strategically growing our teams with more remote, work-from-home opportunities every day to bette"
8,Staff Data Scientist,"San Mateo, CA, USA",Achieve,Posted 60+ days ago,"Description At Achieve, we're changing millions of lives. From the single parent trying to catch up on bills to the entrepreneur needing a loan for the next phase of growth, you'll get to be a part of their journey to a better financial future. We're proud to have over 2,700 employees in mostly hybrid and 100% remote roles across the United States with hubs in Arizona, California, and Texas. We are strategically growing our teams with more remote, work-from-home opportunities every day to bette"
9,Naval Aviation Enterprise NAE Data Scientist,"Norfolk, VA, USA",SAIC,Posted 44 days ago,"Job ID: 2216768 Location: NORFOLK , VA , US Date Posted: 2022-11-10 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: Yes, 10 % of the Time Minimum Clearance Required: Interim Secret Clearance Level Must Be Able to Obtain: Secret Potential for Remote Work: No Description SAIC is looking for a Naval Aviation Enterprise (NAE) Data Scientist to serve in the NAE as a Functional Data Scientist at Commander Naval Air Forces, Atlantic (CNA"
10,Machine Learning / Data Scientist / 100% REMOTE,"San Francisco, CA, USA",Motion Recruitment,Posted 49 days ago,"Dealing with family assets can be difficult. From properties to investments to philanthropic donations this company helps organize these assets into check and task list. They are hiring for a hybrid role MLE and Data Science remotely! Required Skills 4+ years Python AWS or Google Cloud Platform Experience with SQL and large data sets Strong communication skills BS degree or higher in Computer Science, Data Science, Data Analytics or similar major The Offer Competitive Pay: $180-220K base Be"
11,REMOTE Data Scientist,Remote,Tential,Posted 60+ days ago,"As a Data Scientist, the position will help support in meeting its regulatory mission by developing and deploying advanced analytics to identify potential investor harm and possible financial market misconduct. The Data Scientist position will derive insights from quantitative and qualitative analysis of data, employ data management and analysis best practices, communicate information in enterprise-level, standardized, and ad hoc reports and dashboards, and utilize predictive analytics to make"
12,Sr. Adobe Web Analytics/Data Scientist & Analyst (Exp. in Web Analytics Reporting Adobe/GA is must),Remote,Virtusoft,Posted 4 days ago,"""URGENT HIRING"" Position- Sr. Adobe Web Analytics/Data Scientist & Analyst (Exp. in Web Analytics Reporting Adobe/GA is must) Location - Remote (Team is based in Toronto so candidate needs to be able to support EST hours) NOTE: Skill1: Web Analytics Implementation Description for Skill1: The knowledge of marketing query parameters in Adobe. Need to have expert level experience. Skill2: Web Analytics Reporting ( Adobe/GA)Description for Skill2: The candidate needs to have knowledge about workspac"
13,Data Scientist Sr Principal,"Salt Lake City, UT, USA",SAIC,Posted 60+ days ago,"Job ID: 2215949 Location: SALT LAKE CITY , UT , US Date Posted: 2022-10-25 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: TS/SCI with Poly Clearance Level Must Be Able to Obtain: None Potential for Remote Work: No Description SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and"
14,Senior Level Data Scientist / 100% REMOTE,"San Francisco, CA, USA",Motion Recruitment,Posted 49 days ago,Interested in having huge impact and mentorship within a project? This is the role for you! This San Francisco Start Up is creating some big talk within the marketing industry. They are already tracking over $4 billion in revenue and millions in ARR. They are hiring a Senior Data Scientist to join their growing team remotely! Required Skills 6+ relevant Data Science experience Python SQL Strong communication skills (ability to communicate results with non technical audiences) Prior experience
15,Data Scientist/ Machine Learning/ Predicative Modeling/ Forecasting/ Contract/ Remote,"Phoenix, AZ, USA",Motion Recruitment,Posted 41 days ago,"Job Description We're working with a company that's based in phoenix, but the position is fully remote. Looking for a data scientist to join their hospitality. Your focus will be building and maintain forecasting & pricing models. 2-year contract Required Skills & Experience Predictive Modeling Frameworks: SQL Time Series Forecasting AWS Python What You Will Be Doing Tech Breakdown 100% Data Science/ ML The Offer You will receive the following benefits: Access to Health, dental and vision benef"
16,Senior Data Scientist/ Machine Learning Engineer,"New York, NY, USA",Motion Recruitment,Posted 56 days ago,"A New York City tech startup that provides an AI engine for real time data analytical software used by the pharmaceutical chain, is seeking a Senior Data Scientist/ Machine Learning Engineer As a Senior Data Scientist, you'll be working on their core engine, building out machine learning models & pipelines and putting them into production. This will also be client facing. Required Skills & Experience Computer Science degree or relatable Machine learning models experience Knowledge of the cloud"
17,Principal ML Eng - Data Scientist - Remote - All US,"Eden Prairie, MN, USA","Optum, Inc",Posted 40 days ago,"Combine two of the fastest-growing fields on the planet with a culture of performance, collaboration and opportunity and this is what you get. Leading edge technology in an industry that's improving the lives of millions. Here, innovation isn't about another gadget, it's about making health care data available wherever and whenever people need it, safely and reliably. There's no room for error. Join us and start doing your life's best work.(sm) You'll enjoy the flexibility to work remotely* from"
18,Data Scientist,"Boca Raton, FL, USA",Global Business Consulting Services,Posted 60+ days ago,"Full-time/Perm PositionMandatory Hybrid – 3 days in office, 2 at home.Base comp range $125K + 15% Bonus (potential to be up to 22.5% with company performance) & Benefits (401k, Pension Plan, Medical, Vision & Dental)Job Spec for Data Scientist The Data Scientist will report into the Vice President, Artificial Intelligence.The Data Scientist will be responsible for contributing to related efforts, including data discovery, exploratory analysis, integration, transformation (wrangling, scaling, etc"
19,Data Scientist / Ad Tech,"San Francisco, CA, USA",Motion Recruitment,Posted 60+ days ago,"This ad tech company focuses within the television space and is hiring a Data Scientist to build algorithms to predict advertising patterns for their clients. Clients include Discovery, Toyota, Universal Paramount, and so much more! Their growing team has plenty of opportunity of for impact and are hiring ASAP! Required Skills 3+ years of data science experience Python Snowflake Sagemaker Bachelors in computer science, physics, mathematics, statistics, engineering, or related fields The Offer"
0,Machine Learning Engineer / Data Scientist,"San Francisco, CA, USA",Motion Recruitment,Posted 60+ days ago,Founded in 2019 this Series A San Francisco based start up is already tracking $4.4 billion in revenue and 4.3 billions pageviews annually. Instead of companies building out their own data warehouse this company steps in and can track internal sales across marketing channels. They are hiring for a hybrid MLE and Data Science role ASAP! Required Skills 5+ years of relevant MLE experience Expert in Python and SQL Strong communication skills The Offer Competitive Pay: $180-200K base Benefits He
1,NYL Data Scientist/Statistician Internship,"New York, NY, USA",New York Life Insurance Company,Posted 59 days ago,"Location Designation: Hybrid When you join New York Life, you're joining a company that values career development, collaboration, innovation, and inclusiveness. We want employees to feel proud about being part of a company that is committed to doing the right thing. You'll have the opportunity to grow your career while developing personally and professionally through various resources and programs. New York Life is a relationship-based company and appreciates how both virtual and in-person inter"
2,Data Scientist - AI/National Defense/Clearances Required,"Mountain View, CA, USA",Motion Recruitment,Posted 55 days ago,"An Artificial Intelligence start-up is seeking a Data Scientist to join their team. You would be solving complex problems by being a systems-level thinker, all the while transforming the nation's defense and national security. This team handles abstract problems regarding public policy surrounding climate change, energy, and national security, among other pressing issues. Some of your responsibilities would include discovering datasets that could help in solution development; curating data, anal"
3,Data Scientist,"Salt Lake City, UT, USA",SAIC,Posted 60+ days ago,"Job ID: 2213993 Location: SALT LAKE CITY , UT , US Date Posted: 2022-09-29 Category: Information Technology Subcategory: Data Scientist Schedule: Full-time Shift: Day Job Travel: No Minimum Clearance Required: TS/SCI with Poly Clearance Level Must Be Able to Obtain: None Potential for Remote Work: No Description SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and"
4,Data Scientist,Remote,"K2 Partnering Solutions, Inc.",Posted 60+ days ago,"SKILLS NEEDED 2 to 3 years working experience in analytics/data science or related master’s degree General proficiency with Python (preferred) or R, and SQL Strong knowledge of statistics fundamentals What you will do Build, test, and validate machine learning models using a disparate set of healthcare and consumer data sources Drive value for customers by building and interpreting compelling data visualizations Research and integrate new data sources into the ML pipeline Work closely with Progr"
5,Senior Data Scientist (Hybrid),"Reston, VA, USA",CareFirst,Posted 60+ days ago,"Resp & Qualifications PURPOSE: Identifies and solves business problems by using various numerical techniques, algorithms, and models in statistical modeling, machine learning, operations research, and data mining. Uses advanced analytical capabilities to support data science initiatives. Communicates across product teams and with customers and educates on artificial intelligence, machine learning, and statistical models. Acting as a liaison and interface between analytics, business units and oth"
6,Senior Data Scientist,"Colorado Springs, CO, USA",SAIC,Posted 60+ days ago,"Description SAIC is seeking a Senior Data Scientist to join our team in Colorado Springs, CO. Position Overview: SAIC's Principal Data Scientist will support missile and space experimentation, test, and analysis efforts for customers such as US SPACECOM, US Space Force, and the Missile Defense Agency, located in Colorado Springs, CO. The Principal Data Scientist will use enterprise tools to work with highly complex and large data sets to implement code and configurations to support analytics wit"
7,Data Scientist (Clearance Required),"Mountain View, CA, USA",Motion Recruitment,Posted 60+ days ago,"An Artificial Intelligence start-up is seeking a Data Scientist to join their team. You would be solving complex problems by being a systems-level thinker while transforming the nation's defense and national security. Their team handles abstract problems regarding public policy surrounding climate change, energy, and national security. Required Skills Python SQL / MySQL Pandas AWS, GCP, or Azure Holds active clearance (secret, top secret, ts/sci) Responsibilities Discover datasets that could hel"
8,Business Analyst / Data Scientist / 100% REMOTE,"San Francisco, CA, USA",Motion Recruitment,Posted 60+ days ago,This retail company has industry leading expertise in connecting demand to supply with real time customer data as the foundation. They are based out of San Francsico but have office that span over 20 different countries! They are hiring a Business Analyst/Data Scientist to work as a liaison between them and one of their largest clients. This person should have strong SQL skills and the ability to handle client conversations independently. Required Skills 3+ year of experience in analytics consu
